latitude,longitude,keyword
39.9744328,116.4233076,元大都城垣遗址公园
39.944852,116.3532596,
39.974582,116.391787,元大都城垣遗址公园
39.9707432,116.3737864,马甸公园
39.9483985,116.3502555,
39.9743798,116.3538701,元大都城垣遗址公园
39.9656558,116.3479603,元大都城垣遗址公园
40.0318702,116.4052212,
40.0177288,116.4065349,仰山公园
40.0270825,116.4393577,
40.0344509,116.4388958,勇士营郊野公园
40.004226,116.4288458,黄草湾郊野公园
40.0034157,116.3988914,
39.9845438,116.4271603,
39.991078,116.4053517,亚运村全民健身园
40.0034337,116.3976696,
39.9959657,116.4224664,华汇紫薇公园
39.9954634,116.4032151,大屯文化广场
40.0410818,116.4188789,
39.9092828,116.3483798,南礼士路公园
39.9465718,116.3679835,西海湿地公园
39.9491266,116.3833507,北滨河公园
39.9152017,116.3458888,月坛公园
39.9689029,116.3757327,玫瑰公园
40.0290706,116.4084291,北辰绿色中央公园
40.0152143,116.4130961,
40.0176942,116.4175284,
40.0144809,116.4113339,
40.0565033,116.43134,润泽公园
39.9796043,116.4431876,太阳宫体育休闲公园
39.9825815,116.439464,太阳宫公园
40.0103146,116.4541902,望湖公园
39.9909394,116.4447175,桐城公园
39.9932016,116.4927004,望京公园
39.993549,116.4456355,望承公园
39.9989069,116.4478766,望和公园北园
39.904038,116.4578293,中航工业花园
39.9058498,116.4585974,
39.9057318,116.4577061,
39.9444089,116.4755863,朝阳公园
39.9212897,116.4677454,
39.9374294,116.4849176,
39.9340666,116.4848795,
39.9311887,116.4813075,
39.9244699,116.458345,团结湖公园
40.01388,116.5437144,
40.0036912,116.5559085,郁金香温泉花园度假村
39.9123934,116.4496053,
40.1156178,116.3561896,万福宫道馆
40.1126786,116.3542373,白各庄新村公园
39.9345033,116.5762496,常营公园
39.9332115,116.4872433,
39.933942,116.4911311,
39.9371031,116.4936644,
39.9347888,116.4940345,
39.9240657,116.4693628,
39.9472882,116.4368934,左家庄科普廉政文化公园
39.9253016,116.48707,红领巾公园
39.9254153,116.4820436,健一公馆
39.9324206,116.3551832,中国儿童中心
39.7676535,116.4991174,X10地块口袋公园
39.840203,116.3884502,建欣苑公园
39.767806,116.5148363,
39.769031,116.5160932,
39.8315247,116.3970141,
39.8457579,116.3958544,福海公园
39.8443415,116.3933933,
39.7741377,116.5047058,
39.7727277,116.5040882,
39.7625626,116.4955628,
39.7615409,116.499829,
39.7681606,116.5086726,
39.76432,116.5071075,
39.7613602,116.5043582,
39.7780248,116.4911228,
39.7793061,116.4921279,
39.796786,116.4702784,
39.7859151,116.4938415,
39.7944692,116.4850124,海棠公园
39.8066061,116.4995115,
39.7966038,116.4850816,
39.8568048,116.4407794,
39.8316825,116.4424724,
39.8144496,116.4454129,宣颐公园
39.790064,116.4740514,
39.7632768,116.5289647,
39.7731508,116.5122673,
39.7824741,116.4955659,
39.7739037,116.5106117,
39.764163,116.5368509,
39.7616344,116.4958811,
39.895612,116.7014611,运河生态公园
39.8942436,116.7003471,
39.9874956,116.8111401,燕郊植物园
39.8519381,116.481646,
39.848735,116.477953,和谐广场
39.8545428,116.4791675,
39.7746671,116.4565875,麋鹿苑
39.8953153,116.553634,百花公园东区
39.8940754,116.544362,百花公园西区
39.7678009,116.5096145,
39.7607646,116.4995114,
39.760735,116.5171765,
39.7604393,116.5085722,
39.7581547,116.5142876,
